id,ticker,name,kind,market,startDate,startPrice,latestDate,latestPrice,initialShares,initialInvested,currentValue,profit,returnPct
DGU_PORTFOLIO,DGU,DGU 포트폴리오,portfolio,CUSTOM,2020-01-02,855923.8672,2026-09-16,3829240.0,각 종목 1주,855923.8672,3829240.0,2973316.1328,347.3809
SAMSUNG_ELEC,005930.KS,삼성전자,stock,KRX,2020-01-02,55200.0,2026-09-16,253500.0,1,55200.0,253500.0,198300.0,359.2391
SKHYNIX,000660.KS,SK하이닉스,stock,KRX,2020-01-02,94700.0,2026-09-16,1759000.0,1,94700.0,1759000.0,1664300.0,1757.4446
KIA,000270.KS,기아,stock,KRX,2020-01-02,42500.0,2026-09-16,120700.0,1,42500.0,120700.0,78200.0,184.0
SHINHAN,055550.KS,신한지주,stock,KRX,2020-01-02,42600.0,2026-09-16,112100.0,1,42600.0,112100.0,69500.0,163.1455
AMOREPACIFIC,090430.KS,아모레퍼시픽,stock,KRX,2020-01-02,207500.0,2026-09-16,144600.0,1,207500.0,144600.0,-62900.0,-30.3133
SKYLIFE,053210.KS,스카이라이프,stock,KRX,2020-01-02,8730.0,2026-09-16,4015.0,1,8730.0,4015.0,-4715.0,-54.0092
CJENM,035760.KQ,CJ ENM,stock,KOSDAQ,2020-01-02,155600.0,2026-09-16,38800.0,1,155600.0,38800.0,-116800.0,-75.0643
SHINWON,009270.KS,신원,stock,KRX,2020-01-02,1840.0,2026-09-16,1095.0,1,1840.0,1095.0,-745.0,-40.4891
DONGYANG_EXP,084670.KS,동양고속,stock,KRX,2020-01-02,27100.0,2026-09-16,23500.0,1,27100.0,23500.0,-3600.0,-13.2841
UNID,014830.KS,유니드,stock,KRX,2020-01-02,59213.8672,2026-09-16,61000.0,1,59213.8672,61000.0,1786.1328,3.0164
HANSSEM,009240.KS,한샘,stock,KRX,2020-01-02,66700.0,2026-09-16,38950.0,1,66700.0,38950.0,-27750.0,-41.6042
SEOYONEHWA,200880.KS,서연이화,stock,KRX,2020-01-02,5140.0,2026-09-16,10980.0,1,5140.0,10980.0,5840.0,113.6187
SAMYANGFOODS,003230.KS,삼양식품,stock,KRX,2020-01-02,89100.0,2026-09-16,1261000.0,1,89100.0,1261000.0,1171900.0,1315.2637
KOSPI,^KS11,코스피,benchmark,INDEX,2020-01-02,2175.1699,2026-09-16,6717.9702,,2175.1699,6717.9702,4542.8003,208.8481
SP500,^GSPC,S&P 500,benchmark,INDEX,2020-01-02,3257.8501,2026-09-17,7635.7002,,3257.8501,7635.7002,4377.8501,134.3785
NASDAQ,^IXIC,나스닥,benchmark,INDEX,2020-01-02,9092.1904,2026-09-17,26392.207,,9092.1904,26392.207,17300.0166,190.2734
